,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
2163,2163,Roseanne,1988,7+,7.0,76%,0,1,0,0,1
2164,2164,Touch,2012,7+,7.4,68%,0,1,0,0,1
2165,2165,Sesame Street,1969,all,8.1,,0,1,1,0,1
2166,2166,Hell's Kitchen,2005,16+,7.1,,0,1,1,0,1
2167,2167,Shark Tank,2009,7+,7.6,,0,1,0,0,1
2168,2168,The Baker and the Beauty,2020,7+,7.1,86%,0,1,0,0,1
2169,2169,The Amazing Race,2001,7+,7.6,,0,1,1,0,1
2170,2170,Daria,1997,16+,8.0,,0,1,0,0,1
2171,2171,War and Peace,2016,16+,8.2,,0,1,0,0,1
2172,2172,SIX,2017,18+,7.3,62%,0,1,0,0,1
2173,2173,Legit,2013,18+,8.2,96%,0,1,0,0,1
2174,2174,Star vs. the Forces of Evil,2015,7+,8.0,,0,1,0,1,1
2175,2175,The Brady Bunch,1969,all,6.7,77%,0,1,0,0,1
2176,2176,Chicago Med,2015,16+,7.5,,0,1,0,0,1
2177,2177,Ghost Adventures,2008,7+,7.5,,0,1,0,0,1
2178,2178,Body of Proof,2011,16+,7.1,76%,0,1,0,0,1
2179,2179,Roots,2016,16+,7.9,96%,0,1,0,0,1
2180,2180,Ghost Whisperer,2005,7+,6.3,,0,1,1,0,1
2181,2181,Digimon Adventure,1999,7+,7.3,,0,1,0,0,1
2182,2182,Whitechapel,2009,7+,7.9,75%,0,1,0,0,1
2183,2183,Tyrant,2014,18+,7.8,60%,0,1,0,0,1
2184,2184,Breeders,2020,18+,7.1,83%,0,1,0,0,1
2185,2185,Ben 10,2005,7+,7.2,,0,1,0,0,1
2186,2186,Alfred Hitchcock Presents,1955,16+,8.5,,0,1,0,0,1
2187,2187,Solar Opposites,2020,18+,8.2,,0,1,0,0,1
2188,2188,Everything's Gonna Be Okay,2020,16+,7.0,94%,0,1,0,0,1
2189,2189,Roswell,1999,16+,7.5,,0,1,0,0,1
2190,2190,Casual,2015,16+,7.5,92%,0,1,0,0,1
2191,2191,Psycho-Pass,2012,16+,8.2,,0,1,1,0,1
2192,2192,Boruto: Naruto Next Generations,2017,16+,7.1,,0,1,0,0,1
2193,2193,Battlestar Galactica,1978,7+,7.2,33%,0,1,0,0,1
2194,2194,Chance,2016,16+,7.7,75%,0,1,0,0,1
2195,2195,Shameless,2004,18+,8.0,,0,1,1,0,1
2196,2196,Yu Yu Hakusho,1992,16+,8.4,100%,0,1,1,0,1
2197,2197,Jane Eyre,2006,7+,8.3,,0,1,0,0,1
