,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
2877,2877,Curiosity,2011,16+,7.8,,0,1,1,0,1
2879,2879,Anyone But Me,2009,16+,7.1,,0,1,1,0,1
2896,2896,StarTalk with Neil deGrasse Tyson,2015,all,7.8,,0,1,1,0,1
2897,2897,Total Wipeout,2009,,6.0,,0,1,1,0,1
2904,2904,The First 48 Presents: Homicide Squad Atlanta,2019,16+,8.5,,0,1,1,0,1
2906,2906,Bleak House,1985,,7.4,,0,1,1,0,1
2921,2921,Here's Lucy,1968,all,6.9,,0,1,1,0,1
2942,2942,The Tesla Files,2018,,7.3,,0,1,1,0,1
2947,2947,Caillou,1998,all,4.1,,0,1,1,0,1
2991,2991,Match Game,1973,16+,6.0,,0,1,1,0,1
3002,3002,Sex Sent Me to the ER,2013,18+,5.4,,0,1,1,0,1
3027,3027,Scorned: Love Kills,2012,16+,6.8,,0,1,1,0,1
3060,3060,The High Fructose Adventures of Annoying Orange,2012,7+,2.0,,0,1,1,0,1
3071,3071,Special A,2008,16+,7.3,,0,1,1,0,1
3075,3075,David Copperfield,1966,all,7.3,,0,1,1,0,1
3079,3079,Kids Behind Bars: Life or Parole,2019,,6.8,,0,1,1,0,1
3082,3082,Swiss Family Robinson,1974,7+,7.0,,0,1,1,0,1
3104,3104,Toddlers & Tiaras,2009,7+,1.8,,0,1,1,0,1
3117,3117,Sea Rescue,2012,all,8.8,,0,1,1,0,1
3148,3148,Murder on the Internet,2017,,7.2,,0,1,1,0,1
3176,3176,The Young Turks,2005,16+,5.5,,0,1,1,0,1
3230,3230,Psychic Investigators,2006,7+,7.2,,0,1,1,0,1
3233,3233,Iconic Characters,2018,,7.0,,0,1,1,0,1
3235,3235,New York Goes to Work,2009,,4.9,,0,1,1,0,1
3238,3238,Outsmarted,2017,,7.9,,0,1,1,0,1
3241,3241,Chloe's Closet,2010,all,6.7,,0,1,1,0,1
3283,3283,Ladylike,2016,,5.9,,0,1,1,0,1
3295,3295,Rudy Maxas World,2008,all,8.0,,0,1,1,0,1
3298,3298,Crime Inc.,2010,,6.5,,0,1,1,0,1
3354,3354,Behind Tasty,2017,,,,0,1,1,0,1
3371,3371,Handcrafted,2017,,,,0,1,1,0,1
3379,3379,Run,2013,,,,0,1,1,0,1
3381,3381,It's Alive with Brad,2018,,,,0,1,1,0,1
3398,3398,Gourmet Makes,2018,,,,0,1,1,0,1
3401,3401,Videofashion! News,2006,,5.6,,0,1,1,0,1
3409,3409,#ThatsHarassment,2018,,,,0,1,1,0,1
3421,3421,Actually Me,2017,,,,0,1,1,0,1
3425,3425,Stone Age The Legendary Pet,2018,,,,0,1,1,0,1
3426,3426,Chickenwatch,2018,,,,0,1,1,0,1
3433,3433,Kids Try,2016,,,,0,1,1,0,1
3440,3440,Lie Detector Test,2018,,,,0,1,1,0,1
3447,3447,Asia's Underworld,2012,,,,0,1,1,0,1
3448,3448,Hello World,2016,,,,0,1,1,0,1
3449,3449,You Sang My Song,2017,,,,0,1,1,0,1
3454,3454,Homebuddies,2017,,,,0,1,1,0,1
3464,3464,All the Pizza,2016,,,,0,1,1,0,1
3471,3471,Eating Your Feed,2018,,,,0,1,1,0,1
3473,3473,Feed Famous,2018,,,,0,1,1,0,1
3482,3482,Tasty 101,2016,,,,0,1,1,0,1
3490,3490,Back to Back Chef,2017,,,,0,1,1,0,1
3493,3493,Struggle Meals,2017,,,,0,1,1,0,1
3494,3494,Talks at GS,2017,,,,0,1,1,0,1
3496,3496,Luke Gamble's Vet Adventures,2010,,,,0,1,1,0,1
3506,3506,Wedding Season,2017,,,,0,1,1,0,1
3509,3509,Tasty's Made By Hand,2018,,,,0,1,1,0,1
3510,3510,Tasting Our Roots,2017,,,,0,1,1,0,1
3513,3513,Working 24 Hours At...,2015,,,,0,1,1,0,1
3516,3516,Mom In Progress,2018,,,,0,1,1,0,1
3523,3523,"I Draw, You Cook",2018,,,,0,1,1,0,1
3525,3525,Rudy Maxa's Travel,2001,,,,0,1,1,0,1
3546,3546,WIRED's Autocomplete Interviews,2016,,,,0,1,1,0,1
3548,3548,Out of Office with Brent Rose,2015,,,,0,1,1,0,1
3557,3557,Bogus Beauty,2017,,,,0,1,1,0,1
3565,3565,pocket.watch Challenge Squad,2018,,,,0,1,1,0,1
3566,3566,The Wire,2002,18+,9.3,94%,0,0,1,0,1
3567,3567,Band of Brothers,2001,18+,9.4,94%,0,0,1,0,1
3568,3568,The Sopranos,1999,18+,9.2,92%,0,0,1,0,1
3569,3569,House,2004,16+,8.7,90%,0,0,1,0,1
3570,3570,Mr. Robot,2015,18+,8.5,94%,0,0,1,0,1
3571,3571,Suits,2011,16+,8.5,90%,0,0,1,0,1
3572,3572,The Boys,2019,18+,8.7,84%,0,0,1,0,1
3573,3573,The Expanse,2015,16+,8.5,93%,0,0,1,0,1
3574,3574,Fleabag,2016,18+,8.7,100%,0,0,1,0,1
3575,3575,Rome,2005,18+,8.7,86%,0,0,1,0,1
3576,3576,Bosch,2014,18+,8.4,97%,0,0,1,0,1
3577,3577,The Marvelous Mrs. Maisel,2017,18+,8.7,89%,0,0,1,0,1
3578,3578,Hannibal,2013,18+,8.5,92%,0,0,1,0,1
3579,3579,Curb Your Enthusiasm,2000,18+,8.7,92%,0,0,1,0,1
3580,3580,Boardwalk Empire,2010,18+,8.5,92%,0,0,1,0,1
3581,3581,The Americans,2013,18+,8.4,96%,0,0,1,0,1
3582,3582,Luther,2010,16+,8.5,88%,0,0,1,0,1
3583,3583,Orphan Black,2013,18+,8.3,93%,0,0,1,0,1
3584,3584,Six Feet Under,2001,18+,8.7,81%,0,0,1,0,1
3585,3585,Upload,2020,,8.2,81%,0,0,1,0,1
3586,3586,Chuck,2007,7+,8.2,89%,0,0,1,0,1
3587,3587,Psych,2006,7+,8.3,89%,0,0,1,0,1
3588,3588,Deadwood,2004,18+,8.6,92%,0,0,1,0,1
3589,3589,The Man in the High Castle,2015,18+,8.0,84%,0,0,1,0,1
3590,3590,Veep,2012,18+,8.3,93%,0,0,1,0,1
3591,3591,Banshee,2013,18+,8.4,89%,0,0,1,0,1
3592,3592,Oz,1997,18+,8.7,89%,0,0,1,0,1
3593,3593,Tom Clancy's Jack Ryan,2018,18+,8.1,71%,0,0,1,0,1
3594,3594,True Blood,2008,18+,7.8,70%,0,0,1,0,1
3595,3595,Good Omens,2019,7+,8.1,84%,0,0,1,0,1
3596,3596,Teen Wolf,2011,16+,7.6,81%,0,0,1,0,1
3597,3597,The Pacific,2010,18+,8.3,91%,0,0,1,0,1
3598,3598,Grimm,2011,16+,7.8,89%,0,0,1,0,1
3599,3599,The Fall,2013,18+,8.2,84%,0,0,1,0,1
3600,3600,The Night Manager,2016,16+,8.1,91%,0,0,1,0,1
3601,3601,The Grand Tour,2016,16+,8.7,66%,0,0,1,0,1
3602,3602,The Newsroom,2012,16+,8.6,59%,0,0,1,0,1
3603,3603,Counterpart,2017,18+,8.1,100%,0,0,1,0,1
